region_id,date,avg_conflict_intensity
al dhale'e,2023-12-01,6.3767271
al dhale'e,2024-01-01,4.6443911
al dhale'e,2024-02-01,4.1896548
al dhale'e,2024-03-01,7.9929447
al dhale'e,2024-04-01,5.8861041
al dhale'e,2024-05-01,5.4424176
al hudaydah,2020-07-01,11.204659
al hudaydah,2020-08-01,11.021347
al hudaydah,2020-09-01,10.556334
al hudaydah,2020-10-01,11.385864
al hudaydah,2020-11-01,10.572342
al hudaydah,2020-12-01,10.672948
al hudaydah,2021-01-01,11.006888
al hudaydah,2021-02-01,11.112567
al hudaydah,2021-03-01,11.299893
al hudaydah,2021-04-01,11.055166
al hudaydah,2021-05-01,10.944047
al hudaydah,2021-06-01,10.765998
al hudaydah,2021-07-01,10.716039
al hudaydah,2021-08-01,10.68992
al hudaydah,2021-09-01,10.455388
al hudaydah,2021-10-01,10.521965
al hudaydah,2021-11-01,11.179912
al hudaydah,2021-12-01,9.5449533
al hudaydah,2022-01-01,8.6860914
al hudaydah,2022-02-01,7.189922299999999
al hudaydah,2022-03-01,7.426549
al hudaydah,2022-04-01,7.380878900000001
al hudaydah,2022-05-01,8.4838428
al hudaydah,2022-06-01,7.218909699999999
al hudaydah,2022-07-01,7.9054418
al hudaydah,2022-08-01,7.7731738
al hudaydah,2022-09-01,8.1897993
al hudaydah,2022-10-01,5.31812
al hudaydah,2022-11-01,7.262628600000001
al hudaydah,2022-12-01,7.9487386
al hudaydah,2023-01-01,8.7585697
al hudaydah,2023-02-01,7.3562799
al hudaydah,2023-03-01,7.738488199999999
al hudaydah,2023-04-01,6.2690964
al hudaydah,2023-05-01,7.7025561
al hudaydah,2023-06-01,6.8221974
al hudaydah,2023-07-01,7.3251491
al hudaydah,2023-08-01,7.9391589
al hudaydah,2023-09-01,6.368186999999999
al hudaydah,2023-10-01,7.321188399999999
al hudaydah,2023-11-01,7.9120569
al hudaydah,2023-12-01,6.122492799999999
al hudaydah,2024-01-01,7.668093699999999
al hudaydah,2024-02-01,4.0073333
al hudaydah,2024-03-01,6.0980744
al hudaydah,2024-04-01,5.5834961
al hudaydah,2024-05-01,6.8511848
al jawf,2020-07-01,8.0261698
al jawf,2020-08-01,9.6514301
al jawf,2020-09-01,9.6795311
al jawf,2020-10-01,10.295867
al jawf,2020-11-01,9.7819977
al jawf,2020-12-01,8.7624893
al jawf,2021-01-01,7.780720700000001
al jawf,2021-02-01,8.9352455
al jawf,2021-03-01,7.7731738
al jawf,2021-04-01,8.0443058
al jawf,2021-05-01,8.704668
al jawf,2021-06-01,8.9718294
al jawf,2021-07-01,7.7832241
al jawf,2021-08-01,8.2238951
al jawf,2021-09-01,7.0066953
al jawf,2021-10-01,8.6033707
al jawf,2021-11-01,8.1122284
al jawf,2021-12-01,9.6973858
al jawf,2022-01-01,7.365812799999999
al jawf,2022-02-01,7.515344600000001
al jawf,2022-03-01,6.5279579
al jawf,2022-04-01,6.962243599999999
al jawf,2022-05-01,4.8520303
al jawf,2022-06-01,4.356709
al jawf,2022-07-01,4.3944492
al jawf,2022-08-01,2.8903718
al jawf,2022-09-01,4.1896548
al jawf,2022-10-01,3.2958369
al jawf,2022-11-01,7.265429499999999
al jawf,2022-12-01,5.8861041
al jawf,2023-01-01,6.8793559
al jawf,2023-02-01,6.89467
al jawf,2023-03-01,4.6443911
al jawf,2023-04-01,5.2882671
al jawf,2023-05-01,5.9914646
al jawf,2023-06-01,4.0253515
al jawf,2023-07-01,5.0814042
al jawf,2023-08-01,6.0402546
al jawf,2023-09-01,1.3862944
al jawf,2023-10-01,4.1743875
al jawf,2023-11-01,5.1239638
al jawf,2023-12-01,1.9459101
al jawf,2024-01-01,6.5875502
al jawf,2024-02-01,6.7428808
al jawf,2024-03-01,7.3987861
al jawf,2024-04-01,6.6280413
al jawf,2024-05-01,6.7417006
al maharah,2020-07-01,1.3862944
al maharah,2020-08-01,1.6094379
al maharah,2020-09-01,1.0986123
al maharah,2020-10-01,3.583519
al maharah,2020-11-01,2.1972246
al maharah,2020-12-01,1.7917595
al maharah,2021-01-01,1.0986123
al maharah,2021-02-01,0.0
al maharah,2021-03-01,1.7917595
al maharah,2021-04-01,1.0986123
al maharah,2021-05-01,0.0
al maharah,2021-06-01,0.0
al maharah,2021-07-01,0.0
al maharah,2021-08-01,0.0
al maharah,2021-09-01,0.0
al maharah,2021-10-01,0.0
al maharah,2021-11-01,0.0
al maharah,2021-12-01,0.0
al maharah,2022-01-01,0.0
al maharah,2022-02-01,1.0986123
al maharah,2022-03-01,0.69314718
al maharah,2022-04-01,0.0
al maharah,2022-05-01,1.3862944
al maharah,2022-06-01,0.0
al maharah,2022-07-01,1.3862944
al maharah,2022-08-01,0.0
al maharah,2022-09-01,1.0986123
al maharah,2022-10-01,0.69314718
al maharah,2022-11-01,1.0986123
al maharah,2022-12-01,1.9459101
al maharah,2023-01-01,1.0986123
al maharah,2023-02-01,0.69314718
al maharah,2023-03-01,1.6094379
al maharah,2023-04-01,1.3862944
al maharah,2023-05-01,0.0
al maharah,2023-06-01,1.0986123
al maharah,2023-07-01,0.0
al maharah,2023-08-01,1.6094379
al maharah,2023-09-01,1.3862944
al maharah,2023-10-01,0.69314718
al maharah,2023-11-01,0.69314718
al maharah,2023-12-01,0.69314718
al maharah,2024-01-01,2.4849067
al maharah,2024-02-01,0.0
al maharah,2024-03-01,0.69314718
al maharah,2024-04-01,1.3862944
al maharah,2024-05-01,0.0
al mahwit,2020-07-01,0.0
al mahwit,2020-08-01,0.0
al mahwit,2020-09-01,0.0
al mahwit,2020-10-01,0.0
al mahwit,2020-11-01,1.0986123
al mahwit,2020-12-01,0.0
al mahwit,2021-01-01,2.8332133
al mahwit,2021-02-01,2.1972246
al mahwit,2021-03-01,1.0986123
al mahwit,2021-04-01,1.0986123
al mahwit,2021-05-01,2.8903718
al mahwit,2021-06-01,1.0986123
al mahwit,2021-07-01,0.0
al mahwit,2021-08-01,0.0
al mahwit,2021-09-01,0.0
al mahwit,2021-10-01,0.0
al mahwit,2021-11-01,0.0
al mahwit,2021-12-01,3.3322046
al mahwit,2022-01-01,0.0
al mahwit,2022-02-01,0.0
al mahwit,2022-03-01,0.69314718
al mahwit,2022-04-01,0.69314718
al mahwit,2022-05-01,0.0
al mahwit,2022-06-01,0.69314718
al mahwit,2022-07-01,2.0794415
al mahwit,2022-08-01,0.0
al mahwit,2022-09-01,3.4965076
al mahwit,2022-10-01,0.0
al mahwit,2022-11-01,1.0986123
al mahwit,2022-12-01,0.69314718
al mahwit,2023-01-01,1.7917595000000002
al mahwit,2023-02-01,2.1972246
al mahwit,2023-03-01,2.1972246
al mahwit,2023-04-01,0.69314718
al mahwit,2023-05-01,1.9459101
al mahwit,2023-06-01,0.0
al mahwit,2023-07-01,0.69314718
al mahwit,2023-08-01,2.1972246
al mahwit,2023-09-01,1.6094379
al mahwit,2023-10-01,2.6390574
al mahwit,2023-11-01,2.5649493
al mahwit,2023-12-01,2.3978953
al mahwit,2024-01-01,2.9957323
al mahwit,2024-02-01,3.3322046
al mahwit,2024-03-01,3.6888795
al mahwit,2024-04-01,3.3322046
al mahwit,2024-05-01,4.4773369
amanat al asimah,2020-07-01,0.0
amanat al asimah,2020-08-01,0.0
amanat al asimah,2020-09-01,0.0
amanat al asimah,2020-10-01,0.0
amanat al asimah,2020-11-01,0.0
amanat al asimah,2020-12-01,0.0
amanat al asimah,2021-01-01,0.0
amanat al asimah,2021-02-01,0.0
amanat al asimah,2021-03-01,0.0
amanat al asimah,2021-04-01,0.0
amanat al asimah,2021-05-01,0.0
amanat al asimah,2021-06-01,0.0
amanat al asimah,2021-07-01,0.0
amanat al asimah,2021-08-01,0.0
amanat al asimah,2021-09-01,0.0
amanat al asimah,2021-10-01,0.0
amanat al asimah,2021-11-01,0.0
amanat al asimah,2021-12-01,0.0
amanat al asimah,2022-01-01,0.0
amanat al asimah,2022-02-01,0.0
amanat al asimah,2022-03-01,0.0
amanat al asimah,2022-04-01,0.0
amanat al asimah,2022-05-01,0.0
amanat al asimah,2022-06-01,0.0
amanat al asimah,2022-07-01,0.0
amanat al asimah,2022-08-01,0.0
amanat al asimah,2022-09-01,0.0
amanat al asimah,2022-10-01,0.0
amanat al asimah,2022-11-01,0.0
amanat al asimah,2022-12-01,0.0
amanat al asimah,2023-01-01,0.0
amanat al asimah,2023-02-01,0.0
amanat al asimah,2023-03-01,0.0
amanat al asimah,2023-04-01,0.0
amanat al asimah,2023-05-01,0.0
amanat al asimah,2023-06-01,0.0
amanat al asimah,2023-07-01,0.0
amanat al asimah,2023-08-01,0.0
amanat al asimah,2023-09-01,0.0
amanat al asimah,2023-10-01,0.0
amanat al asimah,2023-11-01,0.0
amanat al asimah,2023-12-01,0.0
amanat al asimah,2024-01-01,0.0
amanat al asimah,2024-02-01,0.0
amanat al asimah,2024-03-01,0.0
amanat al asimah,2024-04-01,0.0
amanat al asimah,2024-05-01,0.0
amran,2020-07-01,4.7004805
amran,2020-08-01,1.0986123
amran,2020-09-01,1.9459101
amran,2020-10-01,1.3862944
amran,2020-11-01,1.6094379
amran,2020-12-01,2.7080503
amran,2021-01-01,3.4011974
amran,2021-02-01,3.3322046
amran,2021-03-01,2.3978953
amran,2021-04-01,2.1972246
amran,2021-05-01,1.7917595000000002
amran,2021-06-01,0.69314718
amran,2021-07-01,1.0986123
amran,2021-08-01,2.1972246
amran,2021-09-01,2.0794415
amran,2021-10-01,0.0
amran,2021-11-01,1.3862944
amran,2021-12-01,2.3025851
amran,2022-01-01,4.0253515
amran,2022-02-01,3.7376697
amran,2022-03-01,3.4011974
amran,2022-04-01,2.3025851
amran,2022-05-01,0.69314718
amran,2022-06-01,4.2766662
amran,2022-07-01,5.5412636
amran,2022-08-01,2.4849067
amran,2022-09-01,1.6094379
amran,2022-10-01,1.3862944
amran,2022-11-01,0.69314718
amran,2022-12-01,3.6888795
amran,2023-01-01,1.7917595000000002
amran,2023-02-01,2.0794415
amran,2023-03-01,4.2766662
amran,2023-04-01,2.0794415
amran,2023-05-01,3.1780539
amran,2023-06-01,4.0253515
amran,2023-07-01,2.4849067
amran,2023-08-01,4.0253515
amran,2023-09-01,0.69314718
amran,2023-10-01,2.7725887
amran,2023-11-01,3.5835190000000003
amran,2023-12-01,2.5649493
amran,2024-01-01,3.5263605000000005
amran,2024-02-01,6.1675167
amran,2024-03-01,5.2149358
amran,2024-04-01,5.3471074
amran,2024-05-01,6.779922000000001
dhamar,2020-07-01,6.1484685
dhamar,2020-08-01,3.4011974
dhamar,2020-09-01,2.0794415
dhamar,2020-10-01,3.2958369
dhamar,2020-11-01,4.1588831
dhamar,2020-12-01,2.8903718
dhamar,2021-01-01,3.871201
dhamar,2021-02-01,2.4849067
dhamar,2021-03-01,1.3862944
dhamar,2021-04-01,2.4849067
dhamar,2021-05-01,3.8918202
dhamar,2021-06-01,1.3862944
dhamar,2021-07-01,2.9957323
dhamar,2021-08-01,1.7917595000000002
dhamar,2021-09-01,3.2188758999999996
dhamar,2021-10-01,1.0986123
dhamar,2021-11-01,1.7917595000000002
dhamar,2021-12-01,2.1972246
dhamar,2022-01-01,2.3978953
dhamar,2022-02-01,0.0
dhamar,2022-03-01,1.0986123
dhamar,2022-04-01,2.0794415
dhamar,2022-05-01,2.9957323
dhamar,2022-06-01,3.7376697
dhamar,2022-07-01,2.7725887
dhamar,2022-08-01,1.0986123
dhamar,2022-09-01,4.1431346
dhamar,2022-10-01,2.3025851
dhamar,2022-11-01,1.0986123
dhamar,2022-12-01,5.0498562
dhamar,2023-01-01,2.7080503
dhamar,2023-02-01,3.4965076
dhamar,2023-03-01,5.3471074
dhamar,2023-04-01,2.0794415
dhamar,2023-05-01,4.1743875
dhamar,2023-06-01,1.3862944
dhamar,2023-07-01,0.69314718
dhamar,2023-08-01,2.9957323
dhamar,2023-09-01,3.2958369
dhamar,2023-10-01,4.9836068
dhamar,2023-11-01,4.1431346
dhamar,2023-12-01,3.4011974
dhamar,2024-01-01,4.6728287
dhamar,2024-02-01,5.0689044
dhamar,2024-03-01,5.1239638
dhamar,2024-04-01,4.7535901
dhamar,2024-05-01,5.6629605
hadramaut,2020-07-01,4.1743875
hadramaut,2020-08-01,3.583519
hadramaut,2020-09-01,3.3322046
hadramaut,2020-10-01,2.7080503
hadramaut,2020-11-01,3.0445225
hadramaut,2020-12-01,3.5263605000000005
hadramaut,2021-01-01,4.0253515
hadramaut,2021-02-01,2.1972246
hadramaut,2021-03-01,3.9889841
hadramaut,2021-04-01,2.1972246
hadramaut,2021-05-01,3.2188758999999996
hadramaut,2021-06-01,2.1972246
hadramaut,2021-07-01,2.7725887
hadramaut,2021-08-01,3.4011974
hadramaut,2021-09-01,5.4930615
hadramaut,2021-10-01,4.1896548
hadramaut,2021-11-01,2.6390574
hadramaut,2021-12-01,2.4849067
hadramaut,2022-01-01,2.3025851
hadramaut,2022-02-01,3.8066626000000006
hadramaut,2022-03-01,3.4657359
hadramaut,2022-04-01,4.0943446
hadramaut,2022-05-01,3.0445225
hadramaut,2022-06-01,4.4998097
hadramaut,2022-07-01,4.6821313
hadramaut,2022-08-01,2.8903718
hadramaut,2022-09-01,5.3471074
hadramaut,2022-10-01,2.5649493
hadramaut,2022-11-01,2.7080503
hadramaut,2022-12-01,4.59512
hadramaut,2023-01-01,2.8332133
hadramaut,2023-02-01,4.0943446
hadramaut,2023-03-01,3.2580965
hadramaut,2023-04-01,1.3862944
hadramaut,2023-05-01,4.6539602
hadramaut,2023-06-01,3.1780539
hadramaut,2023-07-01,2.6390574
hadramaut,2023-08-01,4.3438053
hadramaut,2023-09-01,2.3978953
hadramaut,2023-10-01,3.1780539
hadramaut,2023-11-01,1.9459101
hadramaut,2023-12-01,1.6094379
hadramaut,2024-01-01,3.0445225
hadramaut,2024-02-01,0.69314718
hadramaut,2024-03-01,1.6094379
hadramaut,2024-04-01,3.4011974
hadramaut,2024-05-01,2.7080503
hajjah,2020-07-01,7.2930179
hajjah,2020-08-01,3.4011974
hajjah,2020-09-01,2.9957323
hajjah,2020-10-01,6.429719399999999
hajjah,2020-11-01,5.5333896
hajjah,2020-12-01,2.6390574
hajjah,2021-01-01,2.8903718
hajjah,2021-02-01,3.9889841000000006
hajjah,2021-03-01,9.1893206
hajjah,2021-04-01,5.7525725
hajjah,2021-05-01,5.1239638
hajjah,2021-06-01,4.4426513
hajjah,2021-07-01,2.0794415
hajjah,2021-08-01,4.2484951
hajjah,2021-09-01,5.0106354
hajjah,2021-10-01,3.9120231
hajjah,2021-11-01,2.7080503
hajjah,2021-12-01,6.896694200000001
hajjah,2022-01-01,8.1763916
hajjah,2022-02-01,11.213171
hajjah,2022-03-01,10.775388
hajjah,2022-04-01,3.9512436
hajjah,2022-05-01,4.1896548
hajjah,2022-06-01,6.2690964
hajjah,2022-07-01,6.4599047
hajjah,2022-08-01,6.616065000000001
hajjah,2022-09-01,5.7807436
hajjah,2022-10-01,4.0253515
hajjah,2022-11-01,3.0445225
hajjah,2022-12-01,3.9120231
hajjah,2023-01-01,3.7612002
hajjah,2023-02-01,4.6539602
hajjah,2023-03-01,3.4965076
hajjah,2023-04-01,2.4849067
hajjah,2023-05-01,3.871201
hajjah,2023-06-01,2.1972246
hajjah,2023-07-01,2.8332133
hajjah,2023-08-01,1.0986123
hajjah,2023-09-01,3.871201
hajjah,2023-10-01,4.6151204
hajjah,2023-11-01,4.1896548
hajjah,2023-12-01,4.356709
hajjah,2024-01-01,6.3243589
hajjah,2024-02-01,6.253829
hajjah,2024-03-01,3.8286414
hajjah,2024-04-01,4.1743875
hajjah,2024-05-01,5.31812
ibb,2020-07-01,5.5134287
ibb,2020-08-01,4.4998097
ibb,2020-09-01,4.2766662
ibb,2020-10-01,4.6821313
ibb,2020-11-01,5.480639
ibb,2020-12-01,5.6347895
ibb,2021-01-01,5.1059456
