2024-10-14 17:22:22,647 - DEBUG - Prepared data for ('ibb', 'wheat'): 47 records
2024-10-14 17:22:22,647 - DEBUG - Prepared data for ('ibb', 'wheat flour'): 47 records
2024-10-14 17:22:22,649 - DEBUG - Prepared data for ('lahj', 'beans (kidney red)'): 44 records
2024-10-14 17:22:22,650 - DEBUG - Prepared data for ('lahj', 'beans (white)'): 47 records
2024-10-14 17:22:22,651 - DEBUG - Prepared data for ('lahj', 'eggs'): 47 records
2024-10-14 17:22:22,652 - DEBUG - Prepared data for ('lahj', 'exchange rate (unofficial)'): 47 records
2024-10-14 17:22:22,653 - DEBUG - Prepared data for ('lahj', 'fuel (diesel)'): 47 records
2024-10-14 17:22:22,654 - DEBUG - Prepared data for ('lahj', 'fuel (gas)'): 47 records
2024-10-14 17:22:22,655 - DEBUG - Prepared data for ('lahj', 'fuel (petrol-gasoline)'): 47 records
2024-10-14 17:22:22,656 - DEBUG - Prepared data for ('lahj', 'lentils'): 47 records
2024-10-14 17:22:22,657 - DEBUG - Prepared data for ('lahj', 'milling cost (wheat)'): 47 records
2024-10-14 17:22:22,658 - DEBUG - Prepared data for ('lahj', 'oil (vegetable)'): 47 records
2024-10-14 17:22:22,658 - DEBUG - Prepared data for ('lahj', 'onions'): 47 records
2024-10-14 17:22:22,660 - DEBUG - Prepared data for ('lahj', 'potatoes'): 47 records
2024-10-14 17:22:22,661 - DEBUG - Prepared data for ('lahj', 'rice (imported)'): 47 records
2024-10-14 17:22:22,662 - DEBUG - Prepared data for ('lahj', 'salt'): 47 records
2024-10-14 17:22:22,664 - DEBUG - Prepared data for ('lahj', 'sugar'): 47 records
2024-10-14 17:22:22,665 - DEBUG - Prepared data for ('lahj', 'tomatoes'): 47 records
2024-10-14 17:22:22,666 - DEBUG - Prepared data for ('lahj', 'wheat'): 47 records
2024-10-14 17:22:22,667 - DEBUG - Prepared data for ('lahj', 'wheat flour'): 47 records
2024-10-14 17:22:22,669 - DEBUG - Prepared data for ('marib', 'beans (kidney red)'): 44 records
2024-10-14 17:22:22,670 - DEBUG - Prepared data for ('marib', 'beans (white)'): 47 records
2024-10-14 17:22:22,671 - DEBUG - Prepared data for ('marib', 'eggs'): 47 records
2024-10-14 17:22:22,672 - DEBUG - Prepared data for ('marib', 'exchange rate (unofficial)'): 47 records
2024-10-14 17:22:22,673 - DEBUG - Prepared data for ('marib', 'fuel (diesel)'): 47 records
2024-10-14 17:22:22,674 - DEBUG - Prepared data for ('marib', 'fuel (gas)'): 47 records
2024-10-14 17:22:22,675 - DEBUG - Prepared data for ('marib', 'fuel (petrol-gasoline)'): 47 records
2024-10-14 17:22:22,676 - DEBUG - Prepared data for ('marib', 'lentils'): 47 records
2024-10-14 17:22:22,677 - DEBUG - Prepared data for ('marib', 'milling cost (wheat)'): 47 records
2024-10-14 17:22:22,678 - DEBUG - Prepared data for ('marib', 'oil (vegetable)'): 47 records
2024-10-14 17:22:22,679 - DEBUG - Prepared data for ('marib', 'onions'): 47 records
2024-10-14 17:22:22,680 - DEBUG - Prepared data for ('marib', 'potatoes'): 47 records
